epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6141,1.61926,4.4503,1.65184,0.00259,0.77778,0.3277,0.12386,1.79619,5.26917,2.33942,0.000583333,0.000583333,0.000583333
2,18.7453,1.18602,3.41532,1.35675,0.00185,0.55556,0.02389,0.00864,1.99774,5.55896,3.89558,0.00124381,0.00124381,0.00124381
3,23.3746,1.21269,3.50273,1.39205,0.00148,0.44444,0.12818,0.04928,2.05732,6.02958,3.47833,0.00189769,0.00189769,0.00189769
4,30.2726,1.0656,3.18328,1.26447,0.00148,0.44444,0.03236,0.01061,2.10901,6.00971,3.53134,0.0019703,0.0019703,0.0019703
5,37.2881,1.04914,2.97856,1.34217,0.54621,0.11111,0.20952,0.08022,2.73785,5.35924,5.63731,0.0019604,0.0019604,0.0019604
6,45.7499,1.1248,2.72058,1.363,0.00148,0.44444,0.1409,0.01924,3.5373,6.75217,4.06771,0.0019505,0.0019505,0.0019505
7,54.3469,0.91319,2.09028,1.19983,0.08715,0.22222,0.04462,0.01238,3.18915,7.15184,5.00345,0.0019406,0.0019406,0.0019406
8,56.9095,0.94436,2.0191,1.20074,0.07654,0.33333,0.26211,0.11718,1.85799,51.7198,5.06308,0.0019307,0.0019307,0.0019307
9,60.066,0.86936,1.91834,1.18859,0.33333,0.11111,0.2375,0.08363,2.11194,61.8281,4.6872,0.0019208,0.0019208,0.0019208
10,63.7806,0.87489,1.71208,1.18156,1,0.11111,0.34135,0.17655,2.28272,36.5622,4.40018,0.0019109,0.0019109,0.0019109
11,67.0088,0.83231,1.558,1.07978,0.03806,0.33333,0.04825,0.01901,2.17832,45.0237,3.82085,0.001901,0.001901,0.001901
12,69.8402,0.82356,1.61697,1.11296,0.09812,0.33333,0.04485,0.01733,2.32291,26.2529,4.21341,0.0018911,0.0018911,0.0018911
13,72.4755,0.78707,1.4264,1.10402,0.24108,0.3188,0.10573,0.03592,2.49759,15.3086,4.69978,0.0018812,0.0018812,0.0018812
14,75.2139,0.89804,1.40221,1.10332,0.17557,0.33333,0.14619,0.03479,2.5131,14.1451,3.47066,0.0018713,0.0018713,0.0018713
15,78.0284,0.83573,1.36755,1.11552,0.19958,0.44444,0.13371,0.04603,2.45787,9.05305,3.17457,0.0018614,0.0018614,0.0018614
16,80.8204,0.76932,1.22733,1.06476,0.39587,0.44444,0.3098,0.21255,1.52973,4.9211,2.1502,0.0018515,0.0018515,0.0018515
17,83.6424,0.83875,1.23704,1.09857,0.32406,0.44444,0.20334,0.13308,1.35548,5.11677,1.7802,0.0018416,0.0018416,0.0018416
18,86.2392,0.81524,1.24534,1.11958,0.38146,0.44444,0.3259,0.18932,1.55258,5.78769,1.98822,0.0018317,0.0018317,0.0018317
19,88.9166,0.74859,1.14313,1.06748,0.5541,0.77778,0.62165,0.41708,1.71027,2.54951,2.13811,0.0018218,0.0018218,0.0018218
20,91.5082,0.70753,1.06312,1.04014,0.4882,0.88889,0.6261,0.39861,1.50363,2.88861,1.92348,0.0018119,0.0018119,0.0018119
21,94.3799,0.71613,1.04613,1.03979,0.70411,0.79451,0.71567,0.35885,1.58892,2.91886,1.95032,0.001802,0.001802,0.001802
22,96.9707,0.72525,1.01827,1.05334,0.71853,0.88889,0.79913,0.39802,1.47299,2.54391,1.98637,0.0017921,0.0017921,0.0017921
23,100.038,0.72881,1.08993,1.06639,0.842,0.77778,0.84125,0.43758,1.47784,2.36944,2.00688,0.0017822,0.0017822,0.0017822
24,102.681,0.71083,0.95299,1.05367,0.63277,0.77778,0.64983,0.24988,1.55274,2.61745,1.90931,0.0017723,0.0017723,0.0017723
25,105.061,0.68534,0.96625,1.02344,0.79979,0.88889,0.84925,0.48449,1.55362,1.97516,1.80391,0.0017624,0.0017624,0.0017624
26,107.756,0.71632,0.94985,1.04976,0.48726,0.44444,0.50856,0.29802,1.54898,2.59234,1.81903,0.0017525,0.0017525,0.0017525
27,110.25,0.70211,0.89084,1.03151,0.29302,0.44444,0.32257,0.21616,1.49449,3.02186,1.88491,0.0017426,0.0017426,0.0017426
28,117.364,0.64794,0.8214,1.01012,0.45541,0.66667,0.53274,0.39228,1.48507,2.96431,1.75483,0.0017327,0.0017327,0.0017327
29,122.393,0.64113,0.80559,1.03156,0.9695,0.66667,0.78742,0.54467,1.36216,1.54222,1.81873,0.0017228,0.0017228,0.0017228
30,131.495,0.62175,0.78364,1.00016,1,0.99051,0.995,0.55877,1.4034,1.27555,1.90997,0.0017129,0.0017129,0.0017129
31,138.575,0.66935,0.83194,1.01281,1,0.99445,0.995,0.54131,1.22952,1.2431,1.72939,0.001703,0.001703,0.001703
32,144.78,0.62644,0.76157,0.99306,0.99044,1,0.995,0.52427,1.35102,1.24442,1.83675,0.0016931,0.0016931,0.0016931
33,148.428,0.6314,0.7292,0.98777,0.86619,0.72294,0.78111,0.42774,1.57286,1.46395,1.84177,0.0016832,0.0016832,0.0016832
