epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.77402,1.61224,4.5078,1.63006,0.00185,0.55556,0.07145,0.0256,1.67706,5.75174,2.51725,0.000583333,0.000583333,0.000583333
2,11.8943,1.172,3.54044,1.29972,0.00148,0.44444,0.02753,0.00949,1.84672,5.43892,4.29948,0.00124381,0.00124381,0.00124381
3,17.7198,1.17177,2.90033,1.36362,0.00148,0.44444,0.07357,0.02706,2.15885,6.63032,3.05276,0.00189769,0.00189769,0.00189769
4,22.312,1.15229,2.92972,1.31084,0.00148,0.44444,0.10417,0.05387,1.83817,5.44675,4.42678,0.0019703,0.0019703,0.0019703
5,29.7196,1.06238,2.44709,1.24104,0.18499,0.33333,0.19497,0.07655,2.231,5.51807,4.32883,0.0019604,0.0019604,0.0019604
6,38.1329,1.10518,2.22873,1.31811,0.76454,0.22222,0.27453,0.07819,2.95162,5.97794,5.05949,0.0019505,0.0019505,0.0019505
7,50.2149,1.00617,2.15617,1.22731,0.25859,0.22222,0.10976,0.0557,2.19358,5.32215,3.65359,0.0019406,0.0019406,0.0019406
8,52.2449,0.94277,1.94812,1.18672,0.45574,0.11111,0.13753,0.06648,2.3918,5.24106,3.81836,0.0019307,0.0019307,0.0019307
9,57.4096,0.8849,1.71639,1.17159,0.2051,0.33333,0.18485,0.07994,2.07046,8.4635,3.58767,0.0019208,0.0019208,0.0019208
10,64.9612,0.87301,1.62081,1.14552,0.4762,0.44444,0.30933,0.12249,2.34489,4.93189,3.19542,0.0019109,0.0019109,0.0019109
11,72.0916,0.81831,1.47343,1.08773,0.36124,0.33333,0.21633,0.09401,2.07642,7.80625,2.62069,0.001901,0.001901,0.001901
12,76.1572,0.88693,1.49799,1.11747,0.03697,0.11111,0.01349,0.00849,1.9551,12.023,2.39238,0.0018911,0.0018911,0.0018911
13,79.6734,0.76786,1.3856,1.09575,0.03337,0.33333,0.01295,0.00483,1.95244,11.6869,2.50976,0.0018812,0.0018812,0.0018812
14,82.6515,0.75901,1.23411,1.03074,0.19878,0.22222,0.22561,0.11848,1.71143,9.39009,2.38521,0.0018713,0.0018713,0.0018713
