epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.9296,1.3928,5.41412,1.42622,0.00259,0.77778,0.20893,0.04574,1.57818,5.25161,1.89397,0.000583333,0.000583333,0.000583333
2,11.7576,1.06511,4.86927,1.24757,0.00222,0.66667,0.40895,0.07618,1.91571,5.3301,3.17609,0.00124381,0.00124381,0.00124381
3,14.4655,0.98999,4.70082,1.13328,0.00148,0.44444,0.00121,0.00058,2.10676,5.79297,3.09362,0.00189769,0.00189769,0.00189769
4,17.0844,1.06632,4.62133,1.2144,0.00148,0.44444,0.05842,0.01412,2.76028,6.72773,3.96145,0.0019703,0.0019703,0.0019703
5,19.7565,1.08944,3.21382,1.41515,0.00148,0.44444,0.1819,0.04515,2.37686,6.11927,3.24237,0.0019604,0.0019604,0.0019604
6,22.4091,1.07083,2.90334,1.36861,0.23159,0.11111,0.05159,0.00557,3.43749,9.54246,4.8168,0.0019505,0.0019505,0.0019505
7,24.9849,1.10123,2.89736,1.3138,0.02674,0.11111,0.01237,0.00252,2.64376,13.9501,3.7221,0.0019406,0.0019406,0.0019406
8,27.1339,1.03592,2.18518,1.28574,0.00341,0.11111,0.00109,0.00014,3.36133,17.8525,4.19152,0.0019307,0.0019307,0.0019307
9,29.5586,0.93366,1.89269,1.22677,0.11625,0.22222,0.22946,0.05867,2.80056,17.6682,4.12836,0.0019208,0.0019208,0.0019208
10,32.0921,0.93617,1.86636,1.18914,0.32126,0.33333,0.22173,0.13274,1.93772,7.19269,2.6803,0.0019109,0.0019109,0.0019109
11,34.5278,0.83789,1.68951,1.10771,0.0663,0.33333,0.03083,0.00639,3.00206,12.1681,3.96663,0.001901,0.001901,0.001901
12,36.8354,0.83235,1.78824,1.19556,0.12795,0.22222,0.07806,0.01557,3.22749,9.8575,3.91636,0.0018911,0.0018911,0.0018911
13,39.1212,0.83806,1.6645,1.25319,0.15518,0.22222,0.137,0.05336,3.31021,8.52161,4.35323,0.0018812,0.0018812,0.0018812
14,41.3189,1.07083,1.71784,1.36598,0.41436,0.33333,0.28367,0.10377,2.36361,7.82709,3.56896,0.0018713,0.0018713,0.0018713
15,43.6077,0.76601,1.51795,1.11094,0.28866,0.44444,0.28313,0.08052,2.34048,9.68983,3.22506,0.0018614,0.0018614,0.0018614
16,45.8336,1.20408,1.69661,1.39045,0.20962,0.33333,0.12269,0.02156,2.49595,6.01007,2.81403,0.0018515,0.0018515,0.0018515
17,48.1725,0.73463,1.37302,1.11925,0.19603,0.44444,0.11627,0.08203,1.80796,4.87076,2.28976,0.0018416,0.0018416,0.0018416
18,50.4872,0.71062,1.30897,1.02989,0.20896,0.33333,0.11481,0.06202,1.76025,4.955,2.49444,0.0018317,0.0018317,0.0018317
19,52.7798,0.73766,1.29176,1.05313,0.21401,0.44444,0.21331,0.17282,1.78493,5.53238,2.41014,0.0018218,0.0018218,0.0018218
20,55.0395,0.72083,1.14621,1.06598,0.75456,0.33333,0.41271,0.35374,1.4615,4.70151,2.08634,0.0018119,0.0018119,0.0018119
21,57.2905,0.61099,0.98543,0.97036,0.53039,0.44444,0.50689,0.38622,1.52482,3.50992,1.99281,0.001802,0.001802,0.001802
22,59.528,0.6954,1.00782,1.04725,0.46929,0.44444,0.47757,0.33957,1.52263,3.44731,2.00019,0.0017921,0.0017921,0.0017921
