epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2691,1.58459,4.5987,1.60991,0.00222,0.66667,0.00335,0.00073,3.17593,7.45855,2.81521,0.000583333,0.000583333,0.000583333
2,12.8078,1.21228,3.50527,1.33807,0.00111,0.33333,0.00198,0.00041,3.64783,7.28258,3.90907,0.00124381,0.00124381,0.00124381
3,15.3814,1.28925,3.32094,1.47382,0.00148,0.44444,0.05487,0.01093,2.15059,6.9245,3.03244,0.00189769,0.00189769,0.00189769
4,18.0421,1.22545,3.15824,1.46359,0.01868,0.33333,0.03459,0.01319,2.05306,6.25001,2.9791,0.0019703,0.0019703,0.0019703
5,20.6831,1.1449,3.18726,1.38994,0.03923,0.11111,0.01862,0.0061,2.04328,6.81233,2.90346,0.0019604,0.0019604,0.0019604
6,23.3079,1.02425,2.46675,1.2866,0.79182,0.11111,0.12491,0.01773,2.8244,8.1146,3.44507,0.0019505,0.0019505,0.0019505
7,26.076,1.06128,2.21456,1.28571,0.00306,0.33333,0.00718,0.00205,3.54455,6.404,5.60687,0.0019406,0.0019406,0.0019406
8,28.5405,1.04038,2.15015,1.25034,0.05481,0.11111,0.0221,0.00618,2.91075,8.60584,6.67589,0.0019307,0.0019307,0.0019307
9,30.9752,0.95184,1.95439,1.23812,0.01981,0.22222,0.01116,0.00448,2.39712,45.5524,4.67815,0.0019208,0.0019208,0.0019208
10,33.4154,0.94057,1.79368,1.23957,0.04987,0.22222,0.02125,0.00845,2.79488,10.7423,3.91064,0.0019109,0.0019109,0.0019109
11,35.934,0.84577,1.63127,1.11078,0.21064,0.22222,0.15575,0.06382,2.39066,6.85693,3.03719,0.001901,0.001901,0.001901
12,38.4358,0.80697,1.5427,1.08371,0.11023,0.33333,0.07917,0.03759,2.22557,11.865,2.79332,0.0018911,0.0018911,0.0018911
13,40.9869,0.8347,1.4022,1.11989,0.58771,0.44444,0.36338,0.26111,1.66754,7.80915,2.74003,0.0018812,0.0018812,0.0018812
14,43.5928,0.83034,1.40466,1.11438,0.56159,0.44444,0.36868,0.19925,1.73119,5.53477,2.39884,0.0018713,0.0018713,0.0018713
15,46.1256,0.8162,1.32485,1.07866,0.61241,0.44444,0.45812,0.23539,1.83238,6.10573,2.74372,0.0018614,0.0018614,0.0018614
16,48.6171,0.81687,1.29054,1.08642,0.38597,0.33333,0.36535,0.16363,1.65276,5.54154,2.28494,0.0018515,0.0018515,0.0018515
17,51.2057,0.80313,1.29306,1.09241,0.48702,0.22222,0.29927,0.14146,1.46909,5.03839,2.05968,0.0018416,0.0018416,0.0018416
18,53.8345,0.70708,1.1347,1.06191,0.26586,0.44444,0.31948,0.12933,1.96039,7.27356,2.26611,0.0018317,0.0018317,0.0018317
19,56.402,0.74857,1.14887,1.08515,0.27238,0.33333,0.15059,0.09678,1.46738,4.55637,2.0022,0.0018218,0.0018218,0.0018218
20,58.8857,0.79597,1.09769,1.06731,0.78544,0.66667,0.65944,0.36075,1.55793,2.92229,1.78693,0.0018119,0.0018119,0.0018119
21,61.3887,0.67974,1.01368,1.01298,0.49678,0.44444,0.38752,0.25771,1.62148,2.9539,1.98474,0.001802,0.001802,0.001802
22,63.8756,0.76129,1.04722,1.04779,0.77363,0.7612,0.70778,0.37018,1.77099,2.22265,2.0723,0.0017921,0.0017921,0.0017921
23,66.3961,0.66585,1.00538,1.02596,0.86315,0.77778,0.7475,0.35114,1.75105,1.89489,2.26603,0.0017822,0.0017822,0.0017822
24,69.0402,0.67223,0.93293,1.01869,0.97194,0.77778,0.83786,0.36629,1.9311,1.89099,2.1437,0.0017723,0.0017723,0.0017723
25,71.5154,0.62926,0.83403,0.98735,0.56633,0.43651,0.39157,0.26261,2.14145,2.25926,2.35331,0.0017624,0.0017624,0.0017624
26,73.883,0.64587,0.8478,1.00379,0.70552,0.44444,0.52468,0.2404,1.911,2.49871,2.40457,0.0017525,0.0017525,0.0017525
27,76.3708,0.60682,0.81498,0.98311,1,0.76585,0.885,0.56039,1.37791,1.57158,1.73371,0.0017426,0.0017426,0.0017426
28,78.8631,0.6136,0.80844,1.00662,1,0.87851,0.8982,0.57074,1.18827,1.59373,1.69878,0.0017327,0.0017327,0.0017327
29,81.2976,0.62106,0.87046,1.03015,0.84579,0.66667,0.6823,0.51084,1.28996,1.72593,1.80829,0.0017228,0.0017228,0.0017228
30,83.7785,0.63078,0.77139,0.99982,0.89166,0.44444,0.61411,0.48173,1.34152,1.91504,1.85365,0.0017129,0.0017129,0.0017129
31,86.2237,0.60236,0.7941,1.00068,0.91707,0.66667,0.843,0.47141,1.65316,2.21582,1.90066,0.001703,0.001703,0.001703
32,88.6483,0.62643,0.77822,0.98539,0.79686,0.88889,0.90144,0.44276,1.6134,2.03294,1.77369,0.0016931,0.0016931,0.0016931
33,91.1027,0.56437,0.67226,0.94603,0.74847,1,0.863,0.38766,1.67374,1.54328,1.9197,0.0016832,0.0016832,0.0016832
34,93.5965,0.62568,0.73941,0.97752,0.9905,1,0.995,0.42495,1.667,1.39853,1.92075,0.0016733,0.0016733,0.0016733
35,95.7222,0.6053,0.67591,0.95589,1,0.9838,0.995,0.56583,1.30471,1.37665,1.63707,0.0016634,0.0016634,0.0016634
36,98.1069,0.55146,0.68186,0.94338,0.8868,0.88889,0.93878,0.56045,1.31207,1.5712,1.64453,0.0016535,0.0016535,0.0016535
37,100.488,0.61794,0.67621,0.95543,0.98922,0.88889,0.95571,0.57296,1.28197,1.53867,1.53927,0.0016436,0.0016436,0.0016436
38,102.854,0.59408,0.65866,0.94857,0.74455,0.77778,0.79995,0.4846,1.31022,1.564,1.67571,0.0016337,0.0016337,0.0016337
39,105.107,0.57376,0.6952,0.96059,0.99137,1,0.995,0.6841,1.26388,1.19427,1.62157,0.0016238,0.0016238,0.0016238
40,107.281,0.52952,0.6135,0.92548,0.88876,0.88782,0.87278,0.56296,1.42614,1.25224,1.69737,0.0016139,0.0016139,0.0016139
41,109.812,0.53197,0.61209,0.94581,0.88808,0.8824,0.87278,0.59685,1.25588,1.17143,1.64331,0.001604,0.001604,0.001604
42,112.663,0.56972,0.64485,0.97629,0.90844,0.88889,0.885,0.61205,1.08402,1.03291,1.53411,0.0015941,0.0015941,0.0015941
43,115.335,0.54453,0.61756,0.92907,0.98601,0.66667,0.83458,0.64488,1.07776,1.21867,1.44944,0.0015842,0.0015842,0.0015842
44,117.917,0.55527,0.62447,0.96138,1,0.66005,0.82888,0.65417,0.99883,1.328,1.42261,0.0015743,0.0015743,0.0015743
45,120.376,0.51747,0.61222,0.9497,0.9797,0.88889,0.8862,0.62625,1.27864,1.21509,1.66232,0.0015644,0.0015644,0.0015644
46,122.691,0.49861,0.5737,0.92951,0.88421,0.88889,0.83611,0.56942,1.09626,1.06331,1.65477,0.0015545,0.0015545,0.0015545
47,124.972,0.4987,0.58573,0.92179,0.88634,0.86847,0.87278,0.58092,1.15222,1.40157,1.72681,0.0015446,0.0015446,0.0015446
48,127.372,0.53394,0.59703,0.97483,0.75193,0.67441,0.80922,0.54079,0.998,1.21262,1.62248,0.0015347,0.0015347,0.0015347
49,129.781,0.48804,0.5504,0.92484,0.87812,0.88889,0.86056,0.64382,0.98089,0.82057,1.55131,0.0015248,0.0015248,0.0015248
50,132.491,0.48868,0.54842,0.94002,0.98678,1,0.995,0.68675,0.86214,0.7752,1.35168,0.0015149,0.0015149,0.0015149
51,135.241,0.46388,0.48715,0.90425,1,0.87174,0.885,0.63833,0.8686,0.77273,1.34424,0.001505,0.001505,0.001505
52,137.916,0.50103,0.54324,0.91401,0.98476,0.88889,0.93214,0.68484,0.9651,0.88509,1.42391,0.0014951,0.0014951,0.0014951
53,140.746,0.51637,0.53922,0.92064,0.86994,0.88889,0.86056,0.59258,1.06229,1.04832,1.46767,0.0014852,0.0014852,0.0014852
54,143.326,0.48862,0.52563,0.92806,0.9796,0.88889,0.885,0.57886,1.02497,0.85449,1.55267,0.0014753,0.0014753,0.0014753
55,146.05,0.45082,0.47131,0.90237,0.86693,0.88889,0.87278,0.6155,1.08176,0.9287,1.47477,0.0014654,0.0014654,0.0014654
56,148.748,0.45999,0.49643,0.92024,0.88402,0.88889,0.885,0.66696,1.13194,0.9269,1.42837,0.0014555,0.0014555,0.0014555
57,151.464,0.50229,0.52009,0.92852,0.97437,0.88889,0.94687,0.67944,1.13304,0.91608,1.47673,0.0014456,0.0014456,0.0014456
58,154.119,0.49215,0.52575,0.93895,0.94561,0.66667,0.86889,0.6027,1.21622,1.01101,1.5822,0.0014357,0.0014357,0.0014357
59,156.768,0.46419,0.48426,0.9116,0.87587,0.88889,0.94349,0.62165,1.27921,0.92077,1.5987,0.0014258,0.0014258,0.0014258
60,159.411,0.46063,0.48083,0.91405,0.99335,0.88889,0.96115,0.61227,1.22788,1.01129,1.54374,0.0014159,0.0014159,0.0014159
61,162.095,0.46319,0.45789,0.92445,0.99201,0.88889,0.975,0.65471,1.264,0.96133,1.65586,0.001406,0.001406,0.001406
62,164.8,0.49593,0.50082,0.91924,0.7911,0.88889,0.88715,0.5527,1.29081,1.06994,1.66945,0.0013961,0.0013961,0.0013961
63,167.514,0.47302,0.44957,0.91323,0.7725,0.88889,0.7265,0.42367,1.40464,1.38351,1.69113,0.0013862,0.0013862,0.0013862
64,170.111,0.45062,0.46768,0.91267,0.71783,0.88889,0.72717,0.46761,1.13122,1.06954,1.53712,0.0013763,0.0013763,0.0013763
65,172.793,0.49128,0.47984,0.92366,0.88721,0.87549,0.87278,0.58103,1.05757,1.0991,1.50396,0.0013664,0.0013664,0.0013664
66,175.556,0.44135,0.45396,0.90132,0.98309,0.88889,0.885,0.63332,1.04517,0.8739,1.46244,0.0013565,0.0013565,0.0013565
67,178.229,0.44527,0.46685,0.92048,0.88041,0.88889,0.87278,0.58872,1.0056,0.83023,1.48165,0.0013466,0.0013466,0.0013466
68,180.917,0.44689,0.49876,0.91841,0.86018,0.88889,0.87278,0.61447,0.93592,0.85548,1.48565,0.0013367,0.0013367,0.0013367
69,183.638,0.4135,0.47348,0.91194,0.96756,1,0.995,0.64795,1.00949,0.94739,1.54533,0.0013268,0.0013268,0.0013268
70,186.235,0.46359,0.47491,0.92725,0.77472,0.88889,0.84704,0.582,1.27494,1.58954,1.68761,0.0013169,0.0013169,0.0013169
71,188.783,0.45434,0.50522,0.90873,0.64497,0.88889,0.78417,0.58308,1.14512,1.69105,1.64735,0.001307,0.001307,0.001307
72,191.426,0.44205,0.45563,0.94289,0.52143,0.88889,0.62048,0.45488,1.08613,1.75808,1.6597,0.0012971,0.0012971,0.0012971
73,194.078,0.43806,0.46238,0.91125,0.98659,0.77778,0.863,0.64593,1.13156,1.13952,1.64138,0.0012872,0.0012872,0.0012872
74,196.962,0.42227,0.42966,0.89753,0.98766,0.88889,0.885,0.68453,1.18523,0.8567,1.64452,0.0012773,0.0012773,0.0012773
75,199.559,0.3948,0.41627,0.89713,0.9899,0.88889,0.885,0.69415,0.971,0.65737,1.45124,0.0012674,0.0012674,0.0012674
76,202.163,0.41597,0.41919,0.88147,0.9696,0.88889,0.885,0.68837,0.90386,0.66771,1.42271,0.0012575,0.0012575,0.0012575
77,204.797,0.43327,0.4369,0.89828,0.96813,0.88889,0.885,0.66814,0.98799,0.70417,1.45225,0.0012476,0.0012476,0.0012476
78,207.334,0.42387,0.43404,0.91694,0.9923,1,0.995,0.69643,0.9223,0.58698,1.39265,0.0012377,0.0012377,0.0012377
79,210.116,0.40473,0.40785,0.88322,0.87999,0.88889,0.86056,0.6841,0.94093,0.59668,1.42405,0.0012278,0.0012278,0.0012278
80,212.699,0.43338,0.45012,0.91003,0.99145,1,0.995,0.67713,1.03432,0.65777,1.48988,0.0012179,0.0012179,0.0012179
81,215.301,0.40858,0.43812,0.90069,0.99497,1,0.995,0.63783,1.05343,0.67046,1.49142,0.001208,0.001208,0.001208
82,218.277,0.41889,0.41351,0.89739,0.98684,1,0.995,0.63914,0.99301,0.66019,1.40989,0.0011981,0.0011981,0.0011981
83,220.96,0.41655,0.41726,0.90323,0.87172,1,0.962,0.65128,0.95494,0.72268,1.41778,0.0011882,0.0011882,0.0011882
84,223.643,0.39963,0.40874,0.87981,0.88702,0.87391,0.87278,0.67575,0.92721,0.73258,1.45431,0.0011783,0.0011783,0.0011783
85,226.395,0.42191,0.40202,0.92361,0.98653,0.77778,0.863,0.5711,1.26116,0.84034,1.81284,0.0011684,0.0011684,0.0011684
86,229.01,0.41028,0.40168,0.87854,0.87436,0.88889,0.87278,0.5782,1.29563,0.82492,1.75172,0.0011585,0.0011585,0.0011585
87,231.662,0.387,0.39381,0.88979,1,0.88128,0.885,0.66704,1.0182,0.68857,1.42376,0.0011486,0.0011486,0.0011486
88,234.371,0.37766,0.39618,0.86644,0.98445,0.88889,0.885,0.64742,0.94023,0.58732,1.38327,0.0011387,0.0011387,0.0011387
89,237.138,0.4045,0.38595,0.91258,0.99024,0.88889,0.885,0.65075,0.98894,0.61982,1.46415,0.0011288,0.0011288,0.0011288
90,239.862,0.34899,0.37464,0.88654,0.99237,0.88889,0.91176,0.70023,1.00469,0.72161,1.46955,0.0011189,0.0011189,0.0011189
91,242.616,0.40734,0.3903,0.88417,0.9911,0.88889,0.984,0.61959,1.00894,0.7928,1.47168,0.001109,0.001109,0.001109
92,245.27,0.36199,0.3837,0.8953,1,0.97933,0.995,0.67302,0.96024,0.83884,1.46326,0.0010991,0.0010991,0.0010991
93,248.11,0.35565,0.39094,0.86354,0.97264,0.77778,0.96278,0.65771,0.96629,0.84574,1.43933,0.0010892,0.0010892,0.0010892
94,250.94,0.37689,0.38526,0.88066,0.9943,1,0.995,0.71572,0.96185,0.60035,1.41227,0.0010793,0.0010793,0.0010793
95,253.747,0.35229,0.39382,0.90219,0.99608,1,0.995,0.66382,0.9259,0.66243,1.42847,0.0010694,0.0010694,0.0010694
96,256.495,0.3741,0.38219,0.88331,0.88864,0.88686,0.93878,0.6511,1.008,0.77232,1.41274,0.0010595,0.0010595,0.0010595
97,259.217,0.3678,0.38583,0.88159,0.88832,0.88437,0.96278,0.65908,0.97451,0.77416,1.4131,0.0010496,0.0010496,0.0010496
98,261.857,0.37571,0.40002,0.88971,1,0.99167,0.995,0.65844,0.88532,0.62152,1.35412,0.0010397,0.0010397,0.0010397
99,264.639,0.37259,0.38332,0.90325,0.98315,0.88889,0.885,0.58492,1.05669,0.68724,1.48763,0.0010298,0.0010298,0.0010298
100,267.515,0.40071,0.40257,0.90225,0.87917,0.88889,0.87278,0.50749,1.22661,0.70659,1.68105,0.0010199,0.0010199,0.0010199
101,270.442,0.39005,0.39218,0.87001,0.99264,1,0.995,0.58998,1.08012,0.73016,1.47944,0.00101,0.00101,0.00101
102,273.361,0.36332,0.37672,0.87512,0.89629,1,0.984,0.70347,0.89593,0.63501,1.36502,0.0010001,0.0010001,0.0010001
103,276.094,0.37404,0.37527,0.88716,0.86526,0.88889,0.87278,0.63419,0.88217,0.65111,1.36532,0.0009902,0.0009902,0.0009902
104,278.895,0.38335,0.39182,0.88926,0.88416,0.88889,0.885,0.65061,0.87493,0.60933,1.34821,0.0009803,0.0009803,0.0009803
105,281.569,0.36721,0.36229,0.84571,1,0.88578,0.885,0.66067,0.90176,0.58504,1.41162,0.0009704,0.0009704,0.0009704
106,284.333,0.37583,0.37309,0.88851,0.99518,0.88889,0.885,0.6705,0.90508,0.63561,1.39022,0.0009605,0.0009605,0.0009605
107,287.023,0.35043,0.35078,0.86453,0.99203,0.88889,0.885,0.67023,0.90623,0.65535,1.36313,0.0009506,0.0009506,0.0009506
108,289.768,0.34104,0.35523,0.88136,0.9885,0.88889,0.885,0.64955,0.88221,0.61173,1.33759,0.0009407,0.0009407,0.0009407
109,293.965,0.36535,0.34977,0.86379,0.98527,0.88889,0.885,0.62021,0.89223,0.6231,1.32507,0.0009308,0.0009308,0.0009308
110,298.218,0.35937,0.35537,0.86956,0.99368,0.88889,0.885,0.66148,0.90212,0.62572,1.29522,0.0009209,0.0009209,0.0009209
111,301.804,0.35401,0.34497,0.87519,0.98986,0.88889,0.9075,0.67649,0.83948,0.58173,1.27689,0.000911,0.000911,0.000911
112,306.541,0.34601,0.32828,0.88234,0.99252,0.88889,0.90652,0.65203,0.79063,0.56988,1.25919,0.0009011,0.0009011,0.0009011
113,310.808,0.34559,0.35063,0.88175,0.99286,0.88889,0.90268,0.63293,0.828,0.58498,1.28848,0.0008912,0.0008912,0.0008912
114,314.685,0.38648,0.38009,0.89617,1,0.99257,0.995,0.65172,0.83726,0.55448,1.31703,0.0008813,0.0008813,0.0008813
115,318.698,0.33811,0.36087,0.87744,1,0.99506,0.995,0.64025,0.91889,0.55588,1.34621,0.0008714,0.0008714,0.0008714
116,321.971,0.34231,0.33395,0.86119,0.98786,0.88889,0.885,0.66296,0.91435,0.56689,1.35317,0.0008615,0.0008615,0.0008615
117,325.798,0.38408,0.3769,0.87659,0.98011,0.88889,0.885,0.67771,0.86626,0.54577,1.35966,0.0008516,0.0008516,0.0008516
118,329.266,0.36271,0.35245,0.87686,0.99067,0.88889,0.885,0.67771,0.83526,0.51863,1.35169,0.0008417,0.0008417,0.0008417
119,332.942,0.33599,0.3321,0.8475,0.99081,0.88889,0.885,0.70029,0.81942,0.50198,1.35122,0.0008318,0.0008318,0.0008318
120,336.491,0.32718,0.33403,0.86157,1,0.84754,0.885,0.65648,0.93389,0.59,1.41179,0.0008219,0.0008219,0.0008219
121,341.114,0.31006,0.31793,0.85664,0.88362,0.88889,0.87278,0.62763,1.02386,0.6475,1.51831,0.000812,0.000812,0.000812
122,344.718,0.32158,0.31788,0.858,0.98395,0.88889,0.885,0.59384,1.06885,0.64132,1.60019,0.0008021,0.0008021,0.0008021
123,348.794,0.31295,0.30538,0.83409,0.98312,0.88889,0.885,0.62513,1.07608,0.58142,1.62878,0.0007922,0.0007922,0.0007922
124,353.163,0.31877,0.31118,0.86595,0.97818,0.88889,0.885,0.64163,1.07884,0.59855,1.57452,0.0007823,0.0007823,0.0007823
125,355.789,0.32166,0.31975,0.84665,0.97416,0.88889,0.885,0.63498,0.91106,0.58386,1.36104,0.0007724,0.0007724,0.0007724
126,358.418,0.34483,0.34452,0.89601,0.89961,0.99611,0.984,0.6354,0.85738,0.61072,1.29255,0.0007625,0.0007625,0.0007625
127,361.029,0.34567,0.34104,0.88413,0.9761,0.88889,0.885,0.63293,0.87634,0.58738,1.31302,0.0007526,0.0007526,0.0007526
128,363.679,0.29886,0.3092,0.84533,0.98778,0.88889,0.885,0.67383,0.89455,0.51459,1.35826,0.0007427,0.0007427,0.0007427
129,366.467,0.32341,0.31513,0.85302,1,0.99993,0.995,0.69465,0.89074,0.48956,1.39992,0.0007328,0.0007328,0.0007328
130,369.21,0.32771,0.33381,0.87138,1,0.99653,0.995,0.7016,0.8734,0.49501,1.36731,0.0007229,0.0007229,0.0007229
131,371.879,0.30254,0.30526,0.86276,0.99102,0.88889,0.885,0.66946,0.8766,0.49704,1.34163,0.000713,0.000713,0.000713
132,374.327,0.29661,0.29526,0.8527,0.89858,0.98583,0.984,0.69451,0.89583,0.55921,1.33996,0.0007031,0.0007031,0.0007031
133,376.819,0.31473,0.29245,0.84175,0.89875,0.98751,0.984,0.709,0.8863,0.55472,1.34621,0.0006932,0.0006932,0.0006932
134,379.159,0.2864,0.2956,0.85993,0.98988,0.88889,0.94687,0.68219,0.8385,0.51489,1.32536,0.0006833,0.0006833,0.0006833
135,381.407,0.32362,0.30645,0.83627,0.99003,0.88889,0.885,0.66971,0.7718,0.48777,1.27023,0.0006734,0.0006734,0.0006734
136,383.565,0.30072,0.29756,0.8601,0.98978,0.88889,0.885,0.65583,0.76828,0.49646,1.26331,0.0006635,0.0006635,0.0006635
137,385.609,0.3453,0.34397,0.88604,0.98927,0.88889,0.885,0.66638,0.75627,0.48938,1.25492,0.0006536,0.0006536,0.0006536
138,387.532,0.31198,0.3108,0.86085,0.99228,0.88889,0.885,0.65993,0.79165,0.52396,1.25537,0.0006437,0.0006437,0.0006437
139,389.534,0.30594,0.30089,0.85398,0.99306,0.88889,0.984,0.70309,0.78395,0.52008,1.25095,0.0006338,0.0006338,0.0006338
140,391.489,0.28727,0.29756,0.82118,0.99328,0.88889,0.885,0.66967,0.79186,0.53257,1.27342,0.0006239,0.0006239,0.0006239
141,393.334,0.31495,0.30314,0.85538,0.99323,0.88889,0.885,0.6562,0.8202,0.57907,1.30465,0.000614,0.000614,0.000614
142,395.23,0.33312,0.32237,0.87179,0.99308,0.88889,0.885,0.66548,0.83777,0.58347,1.30336,0.0006041,0.0006041,0.0006041
143,397.058,0.29997,0.30735,0.85373,0.99253,0.88889,0.885,0.6674,0.89616,0.57017,1.35767,0.0005942,0.0005942,0.0005942
144,398.866,0.27987,0.29072,0.85375,0.99143,0.88889,0.885,0.65827,0.88367,0.5648,1.38628,0.0005843,0.0005843,0.0005843
145,400.694,0.29401,0.29746,0.85323,0.98945,0.88889,0.885,0.68217,0.85943,0.55525,1.39301,0.0005744,0.0005744,0.0005744
146,402.498,0.30388,0.29664,0.83865,0.98977,0.88889,0.885,0.65059,0.86592,0.58247,1.36158,0.0005645,0.0005645,0.0005645
147,404.33,0.27327,0.27907,0.84496,0.98903,0.88889,0.885,0.64304,0.88258,0.564,1.32061,0.0005546,0.0005546,0.0005546
148,406.154,0.30303,0.29717,0.86944,0.89864,0.98643,0.984,0.65294,0.88072,0.57675,1.29924,0.0005447,0.0005447,0.0005447
149,407.978,0.28287,0.2795,0.86612,0.99295,0.88889,0.885,0.66317,0.8206,0.55539,1.25651,0.0005348,0.0005348,0.0005348
150,409.797,0.27634,0.29935,0.87453,0.99351,0.88889,0.9675,0.69296,0.75704,0.50628,1.2044,0.0005249,0.0005249,0.0005249
151,411.655,0.27508,0.27757,0.83662,0.99358,0.88889,0.975,0.67717,0.80362,0.50251,1.22928,0.000515,0.000515,0.000515
152,413.516,0.28684,0.27781,0.87806,0.99364,0.88889,0.885,0.65437,0.81856,0.47343,1.2424,0.0005051,0.0005051,0.0005051
153,415.361,0.29267,0.28931,0.88496,0.99346,0.88889,0.885,0.62887,0.86785,0.51481,1.28854,0.0004952,0.0004952,0.0004952
154,417.196,0.27335,0.27968,0.84511,0.99336,0.88889,0.885,0.64077,0.84852,0.48609,1.29688,0.0004853,0.0004853,0.0004853
