epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.14683,1.40439,4.27921,1.55337,0.002,0.6,0.00202,0.00029,3.41147,6.89136,3.66851,0.000571429,0.000571429,0.000571429
2,11.7602,1.14667,3.47096,1.33252,0.00267,0.8,0.16672,0.08168,1.20396,4.39716,2.66165,0.00122992,0.00122992,0.00122992
3,14.3949,1.18506,3.9056,1.35646,0,0,0,0,4.5704,8.38233,4.37523,0.00187962,0.00187962,0.00187962
4,16.6522,1.27181,4.49413,1.31671,0,0,0,0,4.59468,10.2481,5.95286,0.0019604,0.0019604,0.0019604
5,18.8707,1.18869,3.96388,1.42039,0,0,0,0,5.21611,12.2163,7.57638,0.0019472,0.0019472,0.0019472
6,21.121,1.31397,3.71124,1.4383,0,0,0,0,5.5043,12.5921,15.4138,0.001934,0.001934,0.001934
7,23.4884,1.07656,2.97946,1.37221,0.00133,0.4,0.00098,0.00021,4.61788,8.82326,6.56281,0.0019208,0.0019208,0.0019208
8,25.7127,0.85406,2.36121,1.19447,0.00133,0.4,0.00069,0.00022,4.24467,17.1824,6.17041,0.0019076,0.0019076,0.0019076
9,27.8945,0.90834,2.22582,1.24643,0.00809,0.2,0.00378,0.0005,3.98413,24.4338,7.68052,0.0018944,0.0018944,0.0018944
10,30.103,0.82382,1.94933,1.17765,0.03226,0.2,0.02089,0.00375,3.37782,86.2566,8.71058,0.0018812,0.0018812,0.0018812
11,32.2929,0.77788,1.78809,1.10936,0.02635,0.6,0.03154,0.00488,3.09047,238.999,7.75925,0.001868,0.001868,0.001868
12,34.4898,0.74683,1.54116,1.09083,0.0282,0.4,0.02105,0.00508,2.88707,23.942,4.99641,0.0018548,0.0018548,0.0018548
13,36.6624,0.68408,1.58855,1.07378,0.10718,0.2,0.05676,0.00909,2.56635,9.01036,4.60023,0.0018416,0.0018416,0.0018416
14,38.8552,0.71519,1.42446,1.08348,0.10378,0.6,0.09058,0.03206,2.2238,18.2843,3.58039,0.0018284,0.0018284,0.0018284
15,41.0285,0.71458,1.4057,1.04775,0.08883,0.8,0.08833,0.04138,2.08098,34.9457,2.88644,0.0018152,0.0018152,0.0018152
16,43.2392,0.71138,1.33955,1.02989,0.71384,0.8,0.715,0.50636,0.98494,4.90596,1.66318,0.001802,0.001802,0.001802
17,45.5184,0.67094,1.33198,1.06828,0.82103,0.8,0.795,0.57203,1.11823,5.13749,1.7876,0.0017888,0.0017888,0.0017888
